first_name,last_name,email,phone
Jill,Jay,abc@gmail.com,1111111111
Jill,Smith,def@gmail.com,2222222222
Bob,Berry,ghi@gmail.com,3333333333
Bob,Berry,jkl@gmail.com,4444444444
Pat,Perry,mno@gmail.com,5555555555
Keeva,Holmes,pqr@gmail.com,6666666666
Leland,Avalos,stu@gmail.com,7777777777
Bronwen,Pearson,vwx@gmail.com,8888888888
Evalyn,Salas,yza@gmial.com,9999999999
Katelyn,Lin,123@gmail.com,1234567890
Jack,Smith,456@gmail.com,4567890123
Jerry,Lee,789@gmail.com,7890123456
Mary,Min,mm@gmail.com,1872494292
Amy,Costo,amyC@gmail.com,2383047282
Candy,Ho,candyh@gmail.com,8314934843
